theta,unattCRF,attCRF
151,0.552671210050239,0.644465848484536
152,0.530031891980829,0.618066347717785
153,0.508174918782193,0.592579128863934
154,0.487080196916207,0.567980761312319
155,0.466727832607617,0.544248047380761
156,0.447098145154948,0.521358037837515
157,0.428171679422501,0.4992880464683
158,0.409929217526074,0.47801566370317
159,0.392351789725979,0.457518769319035
160,0.375420684541931,0.43777554423481
161,0.359117458105146,0.418764481417125
162,0.343423942763895,0.400464395915473
163,0.328322254959371,0.382854434046521
164,0.313794802389498,0.365914081748075
165,0.299824290478826,0.349623172123912
166,0.28639372817326,0.333961892201292
167,0.273486433078807,0.31891078892355
168,0.261086035963959,0.304450774400639
169,0.249176484645702,0.290563130440911
170,0.237742047279406,0.277229512387784
171,0.226767315073149,0.264431952285243
172,0.216237204447178,0.252152861396319
173,0.206136958660715,0.240375032100436
174,0.196452149805623,0.229081640218564
175,0.187168892331719,0.21825649400411
176,0.178292343623097,0.207905607551766
177,0.170400613688919,0.198703111495171
178,0.169548968520788,0.197710014549278
179,0.190063558234433,0.221631952916635
180,0.209921242722874,0.367181816507888
