Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
349	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	45	135	7	7	97	68	95	101	163	6	66.667	314216394	1955958379	248995526	1492482452	G	N	D			XR Controller	D3F858F7	FF1A6CBB	E9223BFB			
350	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	0	0	2	6	61	68	95	97	163	2	22.222	1219939467	337468855	1992889939	213929462	R	N	Db			XR Controller	F471BB3F	420BC5FB	E9223BFB			
351	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	180	180	6	4	79	68	95	103	163	8	88.889	378600337	1180545884	1183255795	717294682	G	N	Da			XR Controller	954102BB	71FFFA3B	E9223BFB			
352	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	180	225	5	1	74	68	95	117	163	22	244.444	969489931	1763625251	807472117	1938698509	G	N	D			XR Controller	0FE1E8D7	FF1A6CBB	E9223BFB			
353	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	90	0	2	6	67	68	95	101	163	6	66.667	2075765907	1031848416	936768417	1267939370	G	N	Db			XR Controller	431BB07F	CDC3FBBB	E9223BFB			
354	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	180	270	4	2	79	68	95	97	163	2	22.222	723057367	2122209733	1263952955	552538504	R	N	Da			XR Controller	5EB51C1F	18E36AFB	E9223BFB			
355	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	45	45	1	9	84	68	95	111	163	16	177.778	15438643	576727131	571594304	1951885353	G	N	Da			XR Controller	DA8A1BAB	71FFFA3B	E9223BFB			
356	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	90	180	6	4	107	68	95	97	163	2	22.222	1294418548	2075124950	1132095793	1743514391	G	N	N			XR Controller	53C5502F	16FE68BB	E9223BFB			
357	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	225	180	6	4	98	68	95	103	163	8	88.889	1677493643	1166041694	57420162	214635913	R	N	N			XR Controller	4AD6A03B	2F6FECFB	E9223BFB			
358	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	0	45	1	9	94	68	95	111	163	16	177.778	1513710	1747139155	145313467	181980884	G	N	Da			XR Controller	BA08EF0B	71FFFA3B	E9223BFB			
